"BusNum","BusName","BusNomVolt","BusSlack","Bus:B1","BusG:1","BusPUVolt","BusAngle","DCLossMultiplier","AreaNum","ZoneNum","BANumber","OwnerNum","SubNum","Latitude","Longitude"
10001,"NEAH BAY 1",0.180392156862745,"NO ",0,0,0.927740502153713,-39.8436013486651,1,1,1,1,1,0.124928166304375,48.2414,-124.577777
10002,"FORKS 1",0.180392156862745,"NO ",0,0,0.932678233953005,-37.0433185424557,1,1,1,1,1,0.124940659121005,47.695555,-124.183645
10003,"OCEAN SHORES 1",0.180392156862745,"NO ",0,0,0.945906466256157,-34.0390984875757,1,1,1,1,1,0.124953151937636,47.040041,-124.056969
10004,"WESTPORT 1",0.180392156862745,"NO ",0,0,0.946831876618329,-33.9261823491868,1,1,1,1,1,0.124965644754266,46.927528,-124.17195
10005,"WESTPORT 2",0.180392156862745,"NO ",0,0,0.946784595634845,-33.9324711550906,1,1,1,1,1,0.124965644754266,46.927528,-124.17195
10006,"LONG BEACH 1 1",0.180392156862745,"NO ",0,0,0.940534110024436,-35.8166325403455,1,1,1,1,1,0.124978137570897,46.316481,-124.06119
10007,"LONG BEACH 1 2",0.180392156862745,"NO ",0,0,0.940579811056416,-35.8084988197248,1,1,1,1,1,0.124978137570897,46.316481,-124.06119
10008,"OCEAN PARK 1",0.180392156862745,"NO ",0,0,0.939359880108921,-34.7419443978654,1,1,1,1,1,0.124990630387527,46.498255,-123.982546
10009,"OCEAN PARK 2",0.180392156862745,"NO ",0,0,0.939300038954137,-34.751217903054,1,1,1,1,1,0.124990630387527,46.498255,-123.982546
10010,"HOQUIAM 1",0.180392156862745,"NO ",0,0,0.938175718148294,-34.8458102421581,1,1,1,1,1,0.125003123204158,47.174349,-123.847397
10011,"PORT ANGELES 1 1",0.180392156862745,"NO ",0,0,0.923838292655725,-40.6036055380596,1,1,1,1,1,0.125015616020788,48.002536,-123.762001
10012,"ABERDEEN 1 1",0.450980392156863,"NO ",0,0,0.949559218175087,-32.2652355652342,1,1,1,1,1,0.125028108837418,47.164996,-123.663897
10013,"ABERDEEN 1 2",0.180392156862745,"NO ",0,0,0.942916272395636,-34.3270640198828,1,1,1,1,1,0.125028108837418,47.164996,-123.663897
10014,"MONTESANO 1",0.180392156862745,"NO ",0,0,0.940622354130461,-34.6411701527314,1,1,1,1,1,0.125040601654049,47.188929,-123.686007
10015,"MONTESANO 2",0.180392156862745,"NO ",0,0,0.940446908852508,-34.6542746976469,1,1,1,1,1,0.125040601654049,47.188929,-123.686007
10016,"RAYMOND 1",0.180392156862745,"NO ",0,0,0.941471464940158,-32.2840257510296,1,1,1,1,1,0.125053094470679,46.65596,-123.614788
10017,"RAYMOND 2",0.180392156862745,"NO ",0,0,0.941339780658347,-32.2992689094494,1,1,1,1,1,0.125053094470679,46.65596,-123.614788
10018,"ELMA 1 1",0.180392156862745,"NO ",0,0,0.946493096691946,-35.3700850746047,1,1,1,1,1,0.12506558728731,47.071872,-123.294346
10019,"PORT ANGELES 2 1",0.450980392156863,"NO ",0,0,0.952456407485049,-36.5408233924209,1,1,1,1,1,0.12507808010394,47.987959,-123.331982
10020,"PORT ANGELES 2 2",0.180392156862745,"NO ",0,0,0.932029356668792,-39.0746484999267,1,1,1,1,1,0.12507808010394,47.987959,-123.331982
10021,"CATHLAMET 1",0.180392156862745,"NO ",0,0,0.941931183671805,-31.8991638397095,1,1,1,1,1,0.125090572920571,46.190358,-123.332028
10022,"SHELTON 1 1",0.180392156862745,"NO ",0,0,0.954240512417761,-35.6918659645883,1,1,1,1,1,0.125103065737201,47.150371,-123.130049
10023,"SHELTON 2 1",0.450980392156863,"NO ",0,0,0.946773338133731,-33.2325081211572,1,1,1,1,1,0.125115558553832,47.147901,-123.071736
10024,"SHELTON 2 2",0.180392156862745,"NO ",0,0,0.957395118834467,-35.6129765965056,1,1,1,1,1,0.125115558553832,47.147901,-123.071736
10025,"ROCHESTER 1",0.180392156862745,"NO ",0,0,0.947637406235331,-32.7204837664144,1,1,1,1,1,0.125128051370462,46.791791,-123.041825
10026,"FRIDAY HARBOR 1",0.180392156862745,"NO ",0,0,0.927778479586881,-41.0728868268058,1,1,1,1,1,0.125140544187092,48.626752,-123.037525
10027,"SEQUIM 1 1",0.180392156862745,"NO ",0,0,0.920641306160066,-41.0723778836482,1,1,1,1,1,0.125153037003723,48.087401,-123.157993
10028,"SEQUIM 1 2",0.180392156862745,"NO ",0,0,0.920448779026361,-41.0893781250907,1,1,1,1,1,0.125153037003723,48.087401,-123.157993
10029,"SEQUIM 2 1",0.180392156862745,"NO ",0,0,0.925270657468796,-40.4555736570418,1,1,1,1,1,0.125165529820353,48.002379,-123.081743
10030,"OLYMPIA 1 1",0.180392156862745,"NO ",0,0,0.951208830601555,-35.052342165428,1,1,1,1,1,0.125178022636984,47.022846,-123.13245
10031,"OLYMPIA 1 2",0.180392156862745,"NO ",0,0,0.951056136222235,-35.073682427186,1,1,1,1,1,0.125178022636984,47.022846,-123.13245
10032,"OLYMPIA 2 1",0.180392156862745,"NO ",0,0,0.945265489267891,-36.1171088574455,1,1,1,1,1,0.125190515453614,47.067281,-123.143333
10033,"LONGVIEW 1 1",0.180392156862745,"NO ",0,0,0.932506511488655,-32.5579439198472,1,1,1,1,1,0.125203008270245,46.127668,-123.010999
10034,"LONGVIEW 2 1",0.180392156862745,"NO ",0,0,0.931440880634908,-32.426000569655,1,1,1,1,1,0.125215501086875,46.146733,-122.989382
10035,"LONGVIEW 2 2",0.180392156862745,"NO ",0,0,0.930939751755125,-32.4547587957674,1,1,1,1,1,0.125215501086875,46.146733,-122.989382
10036,"LONGVIEW 2 3",0.180392156862745,"NO ",0,0,0.932030149351286,-32.3930336069172,1,1,1,1,1,0.125215501086875,46.146733,-122.989382
10037,"CHEHALIS 1 1",0.180392156862745,"NO ",0,0,0.94806484838817,-32.0931253165594,1,1,1,1,1,0.125227993903505,46.659985,-122.962879
10038,"OLYMPIA 3 1",0.180392156862745,"NO ",0,0,0.949779815681087,-36.4002245370711,1,1,1,1,1,0.125240486720136,47.143308,-123.021254
10039,"OLYMPIA 3 2",0.180392156862745,"NO ",0,0,0.949995969588895,-36.3809497992787,1,1,1,1,1,0.125240486720136,47.143308,-123.021254
10040,"OLYMPIA 4 1",0.180392156862745,"NO ",0,0,0.944795163871452,-37.0841234309096,1,1,1,1,1,0.125252979536766,47.171712,-122.922797
10041,"WINLOCK 1",0.180392156862745,"NO ",0,0,0.946707130832756,-31.3423460672633,1,1,1,1,1,0.125265472353397,46.418666,-122.89575
10042,"CENTRALIA 1 1",0.180392156862745,"NO ",0,0,0.947230505815426,-33.1900591967912,1,1,1,1,1,0.125277965170027,46.754791,-122.848111
10043,"BELFAIR 1",0.180392156862745,"NO ",0,0,0.937062592003919,-38.8110206517254,1,1,1,1,1,0.125290457986658,47.453521,-122.926406
10044,"BELFAIR 2",0.180392156862745,"NO ",0,0,0.936965207934907,-38.8348316240787,1,1,1,1,1,0.125290457986658,47.453521,-122.926406
10045,"CASTLE ROCK 1 1",0.180392156862745,"NO ",0,0,0.937959742075426,-32.1512620819005,1,1,1,1,1,0.125302950803288,46.33939,-122.809116
10046,"OLYMPIA 5 1",0.180392156862745,"NO ",0,0,0.937504662391309,-34.5137095167128,1,1,1,1,1,0.125315443619919,46.995509,-122.858057
10047,"OLYMPIA 5 2",0.180392156862745,"NO ",0,0,0.937360055546121,-34.5383002494248,1,1,1,1,1,0.125315443619919,46.995509,-122.858057
10048,"OLYMPIA 6 1",0.180392156862745,"NO ",0,0,0.937825148571363,-34.4878892002594,1,1,1,1,1,0.125327936436549,46.99041,-122.885985
10049,"OLYMPIA 6 2",0.180392156862745,"NO ",0,0,0.938017818625727,-34.4627822531267,1,1,1,1,1,0.125327936436549,46.99041,-122.885985
10050,"OLYMPIA 6 3",0.180392156862745,"NO ",0,0,0.937825148571363,-34.4878892002594,1,1,1,1,1,0.125327936436549,46.99041,-122.885985
10051,"EASTSOUND 1",0.180392156862745,"NO ",0,0,0.929582815560471,-40.8149959157393,1,1,1,1,1,0.125340429253179,48.551369,-122.945471
